id,instruction,response,test_list
59,Enter a Python function to find a list average.,"def Average(lst): 
    return sum(lst) / len(lst) ","""['assert Average([15, 9, 55, 41, 35, 20, 62, 49]) == 35.75', 'assert Average([4, 5, 1, 2, 9, 7, 10, 8]) == 5.75', 'assert Average([1,2,3]) == 2']"""
60,Enter a function to solve the tiling problem.,"def get_noOfways(n):
    if (n == 0):
        return 0;
    if (n == 1):
        return 1; 
    return get_noOfways(n - 1) + get_noOfways(n - 2);","""['assert get_noOfways(4)==3', 'assert get_noOfways(3)==2', 'assert get_noOfways(5)==5']"""
61,Enter a function to convert a Roman numeral into an integer.,"def roman_to_int(s):
        rom_val = {'I': 1, 'V': 5, 'X': 10, 'L': 50, 'C': 100, 'D': 500, 'M': 1000}
        int_val = 0
        for i in range(len(s)):
            if i > 0 and rom_val[s[i]] > rom_val[s[i - 1]]:
                int_val += rom_val[s[i]] - 2 * rom_val[s[i - 1]]
            else:
                int_val += rom_val[s[i]]
        return int_val","""[\""assert roman_to_int('MMMCMLXXXVI')==3986\"", \""assert roman_to_int('MMMM')==4000\"", \""assert roman_to_int('C')==100\""]"""
62,Write a Python function to find the sum of all equal numbers between l and r.,"def sum_Natural(n): 
    sum = (n * (n + 1)) 
    return int(sum) 
def sum_Even(l,r): 
    return (sum_Natural(int(r / 2)) - sum_Natural(int((l - 1) / 2))) ","""['assert sum_Even(2,5) == 6', 'assert sum_Even(3,8) == 18', 'assert sum_Even(4,6) == 10']"""
63,Enter a function to calculate the dyscriminant value.,"def discriminant_value(x,y,z):
    discriminant = (y**2) - (4*x*z)
    if discriminant > 0:
        return (""Two solutions"",discriminant)
    elif discriminant == 0:
        return (""one solution"",discriminant)
    elif discriminant < 0:
        return (""no real solution"",discriminant)","""['assert discriminant_value(4,8,2)==(\""Two solutions\"",32)', 'assert discriminant_value(5,7,9)==(\""no real solution\"",-131)', 'assert discriminant_value(0,0,9)==(\""one solution\"",0)']"""
64,Enter a python function so that the length of the word is equal to whether the length is equal.,"def word_len(s): 
    s = s.split(' ')   
    for word in s:    
        if len(word)%2==0: 
            return True  
        else:
          return False","""['assert word_len(\""program\"") == False', 'assert word_len(\""solution\"") == True', 'assert word_len(\""data\"") == True']"""
65,Enter a function that converts the camel case into a snake case string to string.,"def camel_to_snake(text):
        import re
        str1 = re.sub('(.)([A-Z][a-z]+)', r'\1_\2', text)
        return re.sub('([a-z0-9])([A-Z])', r'\1_\2', str1).lower()","""[\""assert camel_to_snake('PythonProgram')==('python_program')\"", \""assert camel_to_snake('pythonLanguage')==('python_language')\"", \""assert camel_to_snake('ProgrammingLanguage')==('programming_language')\""]"""
66,Enter a function that removes an empty tip of a list.,"def remove_empty(tuple1): #L = [(), (), ('',), ('a', 'b'), ('a', 'b', 'c'), ('d')]
   tuple1 = [t for t in tuple1 if t]
   return tuple1","""[\""assert remove_empty([(), (), ('',), ('a', 'b'), ('a', 'b', 'c'), ('d')])==[('',), ('a', 'b'), ('a', 'b', 'c'), 'd']  \"", 'assert remove_empty([(), (), (\\'\\',), (\""python\""), (\""program\"")])==[(\\'\\',), (\""python\""), (\""program\"")]  ', 'assert remove_empty([(), (), (\\'\\',), (\""java\"")])==[(\\'\\',),(\""java\"") ]  ']"""
67,Enter a Python function so that the strings can be taken so that all the vowels are.,"def check(string): 
  if len(set(string).intersection(""AEIOUaeiou""))>=5: 
    return ('accepted') 
  else: 
    return (""not accepted"") ","""['assert check(\""SEEquoiaL\"") == \\'accepted\\'', 'assert check(\\'program\\') == \""not accepted\""', 'assert check(\\'fine\\') == \""not accepted\""']"""
68,Enter a Python function to find the maximum potential value of the given periodic function.,"def floor_Max(A,B,N):
    x = min(B - 1,N)
    return (A*x) // B","""['assert floor_Max(11,10,9) == 9', 'assert floor_Max(5,7,4) == 2', 'assert floor_Max(2,2,1) == 1']"""
69,"If the tops have the same primary element of the tops, enter a function to add them.","def join_tuples(test_list):
  res = []
  for sub in test_list:
    if res and res[-1][0] == sub[0]:
      res[-1].extend(sub[1:])
    else:
      res.append([ele for ele in sub])
  res = list(map(tuple, res))
  return (res) ","""['assert join_tuples([(5, 6), (5, 7), (6, 8), (6, 10), (7, 13)] ) == [(5, 6, 7), (6, 8, 10), (7, 13)]', 'assert join_tuples([(6, 7), (6, 8), (7, 9), (7, 11), (8, 14)] ) == [(6, 7, 8), (7, 9, 11), (8, 14)]', 'assert join_tuples([(7, 8), (7, 9), (8, 10), (8, 12), (9, 15)] ) == [(7, 8, 9), (8, 10, 12), (9, 15)]']"""
70,Enter a function so that the minimum number of two numbers is available.,"def min_of_two( x, y ):
    if x < y:
        return x
    return y","""['assert min_of_two(10,20)==10', 'assert min_of_two(19,15)==15', 'assert min_of_two(-10,-20)==-20']"""
71,"Enter a function that finds the maximum number of segments of A, B and C length that can be formed from n.","def maximum_segments(n, a, b, c) : 
	dp = [-1] * (n + 10) 
	dp[0] = 0
	for i in range(0, n) : 
		if (dp[i] != -1) : 
			if(i + a <= n ): 
				dp[i + a] = max(dp[i] + 1, 
							dp[i + a]) 
			if(i + b <= n ): 
				dp[i + b] = max(dp[i] + 1, 
							dp[i + b]) 
			if(i + c <= n ): 
				dp[i + c] = max(dp[i] + 1, 
							dp[i + c]) 
	return dp[n]","""['assert maximum_segments(7, 5, 2, 5) == 2', 'assert maximum_segments(17, 2, 1, 3) == 17', 'assert maximum_segments(18, 16, 3, 6) == 6']"""
72,Enter a function that attaches to the two tiples given by a nestled press.,"def concatenate_nested(test_tup1, test_tup2):
  res = test_tup1 + test_tup2
  return (res) ","""['assert concatenate_nested((3, 4), (5, 6)) == (3, 4, 5, 6)', 'assert concatenate_nested((1, 2), (3, 4)) == (1, 2, 3, 4)', 'assert concatenate_nested((4, 5), (6, 8)) == (4, 5, 6, 8)']"""
73,Enter a Python Function that rotates the left side of the string.,"def left_rotate(s,d):
    tmp = s[d : ] + s[0 : d]
    return tmp  ","""['assert left_rotate(\""python\"",2) == \""thonpy\""   ', 'assert left_rotate(\""bigdata\"",3 ) == \""databig\"" ', 'assert left_rotate(\""hadoop\"",1 ) == \""adooph\"" ']"""
74,Enter a function to find the sum of the minimum total path of the given triangle.,"def min_sum_path(A): 
	memo = [None] * len(A) 
	n = len(A) - 1
	for i in range(len(A[n])): 
		memo[i] = A[n][i] 
	for i in range(len(A) - 2, -1,-1): 
		for j in range( len(A[i])): 
			memo[j] = A[i][j] + min(memo[j], 
									memo[j + 1]) 
	return memo[0]","""['assert min_sum_path([[ 2 ], [3, 9 ], [1, 6, 7 ]]) == 6', 'assert min_sum_path([[ 2 ], [3, 7 ], [8, 5, 6 ]]) == 10 ', 'assert min_sum_path([[ 3 ], [6, 4 ], [5, 2, 7 ]]) == 9']"""
